part_of_speech,english,greek,category
adverb,a little,λίγο,
preposition,"about, for",για,
noun,adult (f),ενήλικη,feminine
noun,adult (m),ενήλικος,masculine
preposition,after,μετά,
noun,afternoon,απόγευμα,neuter
noun,age,ηλικία,feminine
noun,airplane,αεροπλάνο,neuter
noun,airport,αεροδρόμιο,neuter
noun,alarm clock,ξυπνητήρι,neuter
adverb,always,πάντα,
conjunction,and,και,
adjective,angry,θυμωμένος,
noun,ankle,αστράγαλος,masculine
verb,answer,απαντάω,
noun,apple,μήλο,neuter
noun,April,Απρίλιος,masculine
verb,ask,ρωτάω,
preposition,"at, in, on, to",σε,
noun,attic,σοφίτα,feminine
noun,August,Αύγουστος,masculine
noun,aunt,θεία,feminine
noun,avocado ,αβοκάντο,neuter
adjective,"awful, terrible, foul",απαίσιος,
noun,baby,μωρό,neuter
noun,backpack,σακίδιο,neuter
adjective,bad,κακός,
adverb,badly,άσχημα,
noun,"bag, handbag",τσάντα,feminine
noun,banana ,μπανάνα,feminine
noun,bank,τράπεζα,feminine
noun,"basement, cellar ",υπόγειο,neuter
verb,be,είμαι,
noun,"beach, coast, shore",παραλία,feminine
noun,bean,φασόλι,neuter
noun,bear,αρκούδα,feminine
adjective,"beautiful, handsome",όμορφος,
conjunction,because,γιατί,
noun,bed,κρεβάτι,neuter
noun,bed sheet,σεντόνι,neuter
noun,bedroom,υπνοδωμάτιο,neuter
noun,bee,μέλισσα,feminine
noun,beer,μπύρα,feminine
preposition,before,πριν,
preposition,behind,πίσω από,
verb,believe,πιστεύω,
noun,"bell, church bell",καμπάνα,feminine
noun,belt,ζώνη,feminine
noun,best man,κουμπάρος,masculine
noun,best woman,κουμπάρα,feminine
preposition,between,ανάμεσα σε,
adjective,"big, large",μεγάλος,
noun,bike,ποδήλατο,neuter
noun,"bill, check, account",λογαριασμός,masculine
noun,bird,πουλί,neuter
noun,blackberry,μπατόμουρο,neuter
noun,blanket,κουβέρτα,feminine
noun,blouse,μπλούζα,feminine
noun,"painting, table, chart, diagram",πίνακας,masculine
noun,body,σώμα,neuter
noun,bone,κόκκαλο,neuter
noun,book,βιβλίο,neuter
noun,boot,μπότα,feminine
noun,bowl,μπολ,neuter
noun,box,κουτί,neuter
noun,boy,αγόρι,neuter
adjective,brave,γενναίος,
noun,bread,ψωμί,neuter
noun,breakfast,πρωινό,neuter
noun,brick,τούβλο,neuter
noun,bridge,γέφυρα,feminine
noun,broccoli ,μπρόκολο,neuter
noun,"broom, vacuum cleaner",σκούπα,feminine
noun,brother,αδελφός,masculine
noun,brush,βούρτσα,feminine
noun,bucket,κουβάς,masculine
noun,bus,λεωφορείο,neuter
noun,bus station,σταθμός λεωφορείων,masculine
noun,"bush, shrub",θάμνος,masculine
conjunction,but,αλλά,
noun,butter,βούτυρο,neuter
noun,butterfly,πεταλούδα,feminine
verb,buy,αγοράζω,
noun,cabbage,λάχανο,neuter
noun,"canal, channel",κανάλι,neuter
noun,"cap, beanie",σκουφί,neuter
noun,moter car,αυτοκίνητο,neuter
noun,carrot,καρότο,neuter
noun,cat,γάτα,feminine
noun,ceiling ,ταβάνι,neuter
noun,"center, centre",κέντρο,neuter
noun,chain,αλυσίδα,feminine
noun,chair,καρέκλα,feminine
noun,cheek,μάγουλο,neuter
noun,cheese,τυρί,neuter
noun,cherry,κεράσι,neuter
noun,"hen, wimp, chicken",κότα,feminine
noun,child,παιδί,neuter
noun,chin,σαγόνι,neuter
noun,city,πόλη,feminine
noun,class,τάξη,feminine
noun,"hall, auditorium, classroom",αίθουσα,feminine
adjective,clean,καθαρός,
noun,cleaning,καθάρισμα,neuter
verb,close,κλείνω,
noun,closet,ντουλάπα,feminine
noun,cloud,σύννεφο,neuter
noun,coat,παλτό,neuter
noun,coffee,καφές,masculine
adjective,cold,κρύος,
verb,come,έρχομαι,
noun,computer,υπολογιστής,masculine
noun,couch,καναπές,masculine
noun,country,χώρα,feminine
noun,cousin (f),ξαδέλφη,feminine
noun,cousin (m),ξάδελφος,masculine
noun,cow,αγελάδα,feminine
